Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN
1,=,Doja Cat - Paint The Town Red,68,1,(x45),16920,-88,0.999,29,1,165,3,1,22,9,46,16,139,,11,5,24,3,86,193,97,32,16,3,35,5,1,21,9,42,7,85,3,130,3,4,,4,15,8,10,12,18,73,2,23,4,5,4,,3,133,6,2,23,13,14,6,15,5,1,2,13
2,=,Tate McRae - greedy,27,2,(x9),14619,14,0.317,44,2,,1,2,24,18,50,,,,74,3,3,2,,,74,114,15,2,57,1,5,61,74,32,4,104,1,192,2,1,,5,11,5,4,7,8,,3,4,1,3,2,,1,152,7,1,6,4,4,7,1,2,2,1,27
3,1,Drake - IDGAF,6,3,(x1),13364,21,0.075,1,8,,11,8,1,30,28,,,,,11,,5,,,138,,,10,94,3,3,58,,4,2,186,5,,19,10,,1,1,3,5,16,23,2,27,2,2,2,194,95,7,,,6,3,1,3,4,2,54,6,50,
4,-1,Drake - First Person Shooter,6,3,(x2),12624,-724,0.076,2,5,,16,6,2,51,40,,,,,15,,7,,,158,,,11,37,4,2,99,,2,1,,11,,77,6,,15,2,13,9,48,29,1,72,1,9,7,126,70,5,,103,34,4,5,1,3,11,49,16,,
5,=,Drake - Virginia Beach,6,2,(x2),12359,-627,0.079,3,6,,17,10,3,38,30,,,,,17,135,6,,,104,,,12,68,6,4,168,,3,3,174,12,,85,3,,11,3,15,15,52,47,5,,3,27,6,151,88,8,,98,39,2,6,2,2,13,61,15,,
6,1,Olivia Rodrigo - vampire,104,1,(x22),10868,133,1.392,40,11,,20,4,30,195,55,79,160,,64,13,27,21,,,80,101,25,4,,8,10,,93,96,22,59,9,170,26,15,,41,65,40,60,55,21,,,20,13,16,5,,9,108,10,48,28,90,26,12,24,7,38,,52
7,1,Taylor Swift - Cruel Summer,245,1,(x13),10731,216,2.271,51,19,,28,3,38,,100,64,109,,4,90,21,30,71,,127,65,9,5,163,22,8,,20,71,15,47,22,123,61,31,,46,109,36,64,88,,,,31,12,56,8,,19,96,2,51,60,157,22,15,29,4,40,,28
8,1,Kenya Grace - Strangers,39,4,,10489,28,0.363,,4,,4,13,53,36,124,,,,,10,85,4,,,,,111,7,46,7,9,171,,37,10,,4,,6,14,,2,22,7,21,22,14,,11,14,3,8,24,,6,,142,18,39,20,12,8,21,9,4,8,100
9,-3,Drake - Calling For You,6,6,,10203,-1189,0.07,4,17,,27,22,4,59,54,,,,,29,,13,,,177,,,22,113,10,11,,,5,6,,20,,,18,,56,7,34,28,73,70,7,,8,29,12,,98,17,,,59,8,15,6,9,35,,35,,
10,=,Drake - Gently,6,9,,9978,-444,0.053,13,34,,60,91,14,86,24,,13,,,35,,10,,17,13,,,78,,16,39,,,28,5,57,45,24,72,19,6,34,25,75,26,56,,11,,10,14,21,158,,34,16,175,49,5,7,5,18,22,89,17,,
