Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN
11,=,Drake - Daylight,6,7,,9282,-1001,0.061,5,22,,31,25,5,100,65,,,,,38,,22,,,,,,28,184,15,13,,,10,11,,28,,,21,,31,17,31,27,66,91,15,,7,34,19,,123,22,,,62,13,14,11,16,38,,29,,
12,=,Drake - Fear Of Heights,6,7,,8981,-1043,0.062,7,21,,37,27,7,98,79,,,,,39,,19,,,,,,31,179,14,15,,,9,9,,30,,,23,,36,14,38,31,80,92,14,,5,38,18,,114,23,,,64,15,16,8,17,41,,43,,
13,2,Drake - Rich Baby Daddy,6,13,,8651,-331,0.044,6,12,,43,12,9,104,101,,,,,48,,17,,,,,,27,,20,6,,,22,14,,47,,,27,,39,48,57,58,,,33,,21,22,33,,193,40,,177,101,32,37,13,33,33,,56,,
14,2,Drake - 8am in Charlotte,6,14,,8222,-562,0.046,9,20,,62,29,8,122,105,,,,,36,,28,,,,,,23,,12,16,,,8,13,,38,,,26,,54,21,59,40,,,22,,12,37,20,,180,27,,,139,9,36,15,22,16,,53,,
15,-2,Drake - 7969 Santa,6,10,,8196,-900,0.054,8,26,,49,34,10,91,93,,,,,37,,27,,,,,,38,,19,20,,,11,12,,41,,,37,,44,6,65,38,,100,16,,6,17,17,,134,29,,,85,17,22,7,21,49,,68,,
16,1,Iñigo Quintero - Si No Estás,15,11,,8128,312,0.089,,,,2,,,3,9,,35,,,1,,1,,15,1,,,,,2,,,,,,3,2,15,10,50,3,,,87,,9,13,,,33,,1,,,14,1,,190,1,122,,54,9,,26,,
17,-3,Drake - Amen,6,8,,7605,-1384,0.058,12,25,,55,42,16,83,87,,,,,46,,29,,,,,,36,,18,19,,,7,21,,51,,,24,,84,40,48,84,,,18,,18,56,24,,113,25,,,100,12,56,18,19,59,,78,,
18,6,Dua Lipa - Dance The Night,139,1,(x19),7035,298,1.248,,28,,34,11,74,74,68,,,,,24,78,15,,,101,,,8,,9,12,,,132,35,65,29,,23,16,,71,,29,92,41,,,,64,24,22,56,,11,,88,23,76,,80,27,87,13,39,,
19,-1,Drake - Members Only,6,16,,6961,-659,0.044,10,23,,79,39,11,115,142,,,,,57,,33,,,,,,43,,25,22,,,13,17,,71,,,33,,,32,80,95,,,19,,16,85,23,,178,36,,,,16,58,16,29,89,,,,
20,2,"cassö, RAYE & D-Block Europe - Prada",58,9,,6945,75,0.33,,3,,5,21,,155,,,,,,8,,8,,,,,,1,,11,72,,,158,,,6,,12,9,,10,,18,,82,,,,,6,25,,,10,,,31,,175,,14,58,,7,79,
21,-1,JENNIE - You & Me,6,20,,6904,-287,0.038,,,13,188,88,,,,1,147,,2,183,50,,,,,1,1,,,87,46,19,1,,75,167,193,98,,,,96,,,,,,,9,,97,,1,,,77,3,160,,,9,137,,1,,,1
22,4,Dave & Central Cee - Sprinter,132,2,(x20),6672,413,1.373,,16,,56,20,48,121,176,,,,,16,,14,,,,,,16,,31,14,,,56,19,,32,,51,17,,62,66,32,29,50,42,38,,24,26,9,190,82,16,,,56,24,91,49,10,37,,24,,
23,-4,Drake - Slime You Out,26,4,,6593,-693,0.206,17,29,,78,51,17,102,119,,,,,58,,32,,,,,,51,,26,23,,,14,20,,65,,,42,,83,42,73,77,,,20,,9,79,31,,148,41,,,108,22,45,20,36,67,,80,,
24,6,Tyla - Water,30,17,,6285,566,0.132,59,9,,91,30,120,76,,,,,79,42,75,20,,,,,,35,,24,7,,,26,23,,117,,,29,,,,,56,,,37,89,53,25,42,,125,32,,14,,43,66,46,30,88,,,,
25,3,JUNG KOOK & Latto - Seven,90,6,,6212,92,0.731,,,7,,,,,,5,,53,9,,36,,57,,,8,12,,,,53,,2,,65,64,,,,,,78,,,,,,,36,,,,6,,,,5,,,,82,94,,3,,,12
26,-5,Drake - Bahamas Promises,6,17,,6077,-881,0.042,11,31,,101,67,18,123,159,,,,,66,,41,,,,,,54,,28,32,,,12,24,,100,,,41,,,31,101,81,,,21,,11,100,29,,170,49,,,,11,73,27,40,79,,,,
27,-4,Drake - Tried Our Best,6,18,,5971,-829,0.041,15,32,,102,62,15,143,158,,,,,71,,46,,,,,,49,,27,28,,,15,18,,85,,,44,,,34,89,94,,,24,,15,,36,,197,52,,,,18,70,17,32,75,,,,
28,-3,Drake - What Would Pluto Do,6,23,,5652,-709,0.036,14,30,,112,61,12,179,169,,,,,82,,51,,,,,,61,,32,27,,,17,29,,99,,,49,,,62,111,,,,28,,17,89,57,,195,55,,,,30,110,28,47,,,,,
29,-2,Drake - Drew A Picasso,6,21,,5472,-745,0.036,18,35,,103,69,21,167,164,,,,,73,,42,,,,,,63,,30,37,,,16,25,,94,,,60,,,38,105,88,,,29,,13,91,41,,,66,,,,25,64,24,50,,,,,
30,2,Billie Eilish - What Was I Made For,90,2,(x10),5425,186,0.946,116,49,,89,28,62,170,,,,,,18,102,31,,,,196,49,20,,13,29,,,68,41,150,63,,68,25,,79,102,66,,,,,,40,43,26,13,,13,,20,67,40,,55,26,,11,,,166
31,3,Gunna - fukumean,117,5,,5175,125,0.968,31,59,,57,52,32,,,,,,,86,,54,,,,,,76,140,54,47,,,54,27,,52,,99,106,,49,60,74,43,42,,46,33,43,21,34,,124,48,,,43,91,27,30,53,83,,41,55,
32,5,Miley Cyrus - Flowers,272,1,(x168),5145,319,4.088,,72,,42,17,88,124,193,,,,,34,31,26,,,109,,,29,,40,24,,,101,47,55,27,,34,32,,82,,82,,74,,,,45,41,27,71,,30,,140,38,74,,,41,,35,54,70,
33,2,Taylor Swift - Anti-Hero,356,1,(x50),5108,177,3.878,140,42,,44,14,68,,,,,,117,99,40,44,,,,,58,14,,38,26,,,118,73,103,43,,,40,,,,85,,,,,,,84,45,55,,53,,16,110,,,75,37,,16,,,146
34,-5,Drake - All The Parties,6,22,,5093,-750,0.034,16,40,,113,82,19,173,178,,,,,79,,53,,,,,,74,,41,38,,,19,26,,103,,,56,,,45,107,,,,36,,25,76,39,,,73,,,,33,98,23,56,,,,,
35,-2,Jung Kook & Jack Harlow - 3D,13,23,,4969,-110,0.059,,,40,,,,,,11,,32,34,,59,,,,,17,18,,,,58,,6,,61,54,,,,,,67,,,,,,,20,,86,63,9,,,,13,,,,47,,,6,,,25
36,2,Olivia Rodrigo - get him back,34,4,,4884,112,0.267,80,18,,176,19,54,,,,,,,142,48,47,,,199,,89,9,,33,18,,,188,82,83,120,,,82,,,,114,,,,,,99,58,,38,,71,161,26,63,86,,100,86,100,12,,,147
37,-6,Drake - Another Late Night,6,27,,4621,-774,0.029,19,50,,109,78,20,,,,,,,105,,59,,,,,,72,,46,34,,,23,30,,86,,,74,,,75,142,,,,34,,22,,70,,,86,,,187,44,124,32,63,71,,,,
38,2,Tom Odell - Another Love,776,6,,4413,243,3.517,,62,,40,128,101,73,109,,,84,,26,139,23,,,186,,,34,,29,166,136,,192,79,,35,,21,72,,69,50,71,,,60,,63,39,99,28,,,37,,,52,85,,57,62,,,22,73,
39,2,Rema & Selena Gomez - Calm Down,393,2,(x32),4261,97,2.617,177,41,,162,15,63,,,,,,,,46,52,,,,,101,40,45,106,25,,,49,16,,123,,,43,,,73,,,,,,,30,62,67,25,,74,,110,97,,,40,58,,21,70,,
40,-4,Drake - Away From Home,5,31,,4237,-637,0.026,20,45,,141,90,23,,,,,,,117,,73,,,,,,81,,42,54,,,20,34,,128,,,75,,,113,147,,,,35,,28,,62,,,101,,,,57,145,37,83,,,,,
41,1,Burna Boy - City Boys,48,22,,4189,99,0.202,,13,,144,,143,14,,,,,,30,,16,,,,,,69,,35,88,,,34,37,,,,,73,,,,,,,,4,,,,30,,4,141,,,,64,,,28,,,,,
42,3,Harry Styles - As It Was,559,1,(x177),4017,119,7.194,,70,,80,33,144,,,,171,,,56,14,43,,186,164,,65,32,139,45,44,,,106,67,80,67,,94,55,,,,97,,,,,,78,30,54,51,,50,130,85,47,69,,72,65,,30,,,
43,1,Olivia Rodrigo - bad idea right,62,4,,3969,38,0.442,82,36,,142,18,66,,,,,,,98,52,138,,,,,194,13,,47,17,,,,83,100,75,,,104,,,,170,,,,,,97,65,,73,,57,197,43,,100,,,98,,38,,,
44,-5,Drake - Polar Opposites,5,35,,3890,-445,0.023,21,52,,190,111,27,,,,,,,124,,70,,,,,,93,,50,64,,,21,33,,,,,88,,,76,,,,,50,,27,,55,,,130,,,,37,160,34,66,,,,,
45,4,Loreen - Tattoo,175,6,,3787,187,0.955,,78,,33,,,41,,,,,,19,,11,,,139,,85,57,,37,,,,,,,26,,46,65,,100,,108,,,,,,,51,10,28,,21,,,46,38,165,,45,,,87,,
46,=,Peggy Gou - (It Goes Like) Nanana,118,10,,3701,28,0.755,,39,,181,153,,,44,,,60,,28,,40,,,170,,94,25,,23,,,,,64,,134,,,,,37,139,,35,,82,,67,44,15,52,,,,,,44,,86,,151,72,,36,51,
47,1,SZA - Snooze,306,20,,3700,71,1.276,26,94,,,101,80,,,,,,16,,,,,,,,30,,,86,35,,,46,62,,,,,196,,,,,,,,54,,,,,11,,,,11,,,,58,144,,19,,,89
48,2,David Kushner - Daylight,181,2,(x14),3657,69,1.328,,123,,39,36,82,128,,,,,,23,,24,,,,,,92,,51,66,,,,90,,48,,39,84,,76,169,94,,78,,,,48,35,15,,,24,,,28,,,91,92,,,62,45,
49,2,The Weeknd - Blinding Lights,1354,1,(x114),3624,78,13.982,,90,,73,32,,,,,,,,63,11,34,,,,,,95,67,48,48,,,,40,84,76,,64,53,,29,,76,,,,,,55,47,64,67,,26,,,53,99,,52,51,,47,76,97,
50,-3,NewJeans - Super Shy,97,13,,3597,-34,0.518,,,41,,,,,,9,,,28,,,,88,,,21,34,,,,,,10,,,,,,,,,,,,,,,,,,,,15,,,,46,,,,,,,8,,,76
51,1,Zach Bryan - I Remember Everything,48,24,,3564,60,0.192,24,124,,,9,6,,,,,,,,,,,,,,,19,,,41,,,139,,,,,,,,,,,,,,,,,,,,,79,,,,,,,82,,,,,
52,-9,Drake - BBL Love,5,32,,3380,-595,0.023,22,60,,,154,29,,,,,,,122,,85,,,,,,116,,53,76,,,24,52,,,,,80,,,124,,,,,48,,49,,75,,,104,,,,46,,61,88,,,,,
53,1,Morgan Wallen - Last Night,254,17,,3183,57,1.122,30,116,,,5,13,,,,,,,,,,,,,,,91,,,33,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2,Taylor Swift - Style,217,16,,3155,106,1.293,,81,,191,48,108,,,,178,,24,,70,,,,,,29,41,,74,52,,,,77,76,129,176,,121,,,,115,,,,,,,,,49,,77,150,15,,,,33,80,,22,,,119
55,=,Myke Towers - LALA,105,32,,3123,64,0.357,162,,,,,,,25,,16,,,,,87,,4,7,,,,,,,,,,,8,,6,,,2,,,,,,,,,,,,,,,3,,,27,,,,,,,,
56,1,NewJeans - ETA,83,18,,2984,-5,0.358,,,25,,,,,,7,,,86,,,,,,,27,81,,,,,,22,,,,,,,,,,,,,,,,,,,,34,,,,138,,,,,,,14,,,192
57,2,Luke Combs - Fast Car,201,29,,2883,114,0.724,48,68,,,7,26,,,,,,,,,192,,,,,,94,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,=,NCT 127 - Fact Check,6,58,,2827,-121,0.016,,,85,,,,,,8,,,20,,,,,,,51,35,,,,,151,29,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,25,,,72
59,5,Soolking & Gazo - Casanova,95,49,,2790,87,0.197,,,,198,,,6,27,,,,,4,,9,,,114,,,,,,,,,,,,,,58,,,,,,,100,,,,61,,4,,,,,,,,,,,,,,,
60,1,Bennett - Vois sur ton chemin,54,45,,2769,16,0.121,,,,12,,,119,180,,,,,14,,25,,,146,,,,,49,,,,,,,16,,62,,,,,,,29,,,,,,38,,,,,,,,,,,,,12,96,
61,NEW,YOASOBI - Idol,139,35,,2759,2759,0.439,,,2,,,,,,43,,,,,,,,,,13,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,
62,1,Taylor Swift - Lover,412,3,(x13),2739,24,2.169,147,111,,,50,84,,,,166,,32,,106,,,,,,39,55,104,114,61,,,,88,96,166,195,,111,,,,,,,,,,,,,45,,83,160,12,,,,77,164,,28,,,116
63,2,Post Malone - Chemical,181,11,,2735,126,0.883,,91,,52,23,90,,,,,,,94,,74,,,,,,170,,21,60,,,66,,,33,,,103,,,,,,,,,,,,83,,,102,,,,,,,85,,,,,
64,-4,KAROL G & Peso Pluma - QLONA,62,37,,2718,-42,0.199,68,,,,,,,,,7,,,,,,,1,17,,,,,,,,,,,12,,5,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,
65,1,Taylor Swift - Blank Space,174,22,,2641,44,1.243,188,101,,156,54,132,,,,184,,49,,55,175,,,,,51,64,171,90,56,,,,74,92,119,199,,108,,,,106,,,,,,,,,39,,109,125,30,,,,48,79,,26,,,106
66,-13,Drake - Screw The World,6,30,,2634,-783,0.023,25,85,,,,41,,,,,,,163,,112,,,,,,160,,75,97,,,31,63,,,,,91,,,148,,,,,56,,65,,84,,,119,,,,61,,76,124,,,,,
67,1,Calvin Harris & Sam Smith - Desire,75,32,,2620,143,0.254,,24,,143,60,,,,,,,,33,,48,,,,,,21,,60,185,,,,,,,,,62,,66,,,,,,,,,59,91,,,,,,140,,,,175,,,59,,
68,5,Mitski - My Love Mine All Mine,4,68,,2560,378,0.013,103,84,,,116,72,,,,,,75,,187,127,,,,,70,70,,71,40,,,,50,,,,,126,,,135,121,,,,,,80,28,,43,,61,,22,,,,19,57,,23,,,122
69,-2,Zach Bryan - Something in the Orange,391,41,,2506,28,0.833,41,168,,,16,25,,,,,,,,,,,,,,,52,,,62,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,SZA - Kill Bill,307,1,(x3),2487,187,2.601,62,184,,163,103,116,,,98,,,110,,134,121,,,,,38,149,,70,51,,,169,42,,185,,,152,,,106,,,,,,,42,52,,18,,115,,54,,,,35,100,,57,,,104
71,-1,The Weeknd & Madonna - Popular,98,6,,2465,131,0.614,,106,,95,24,200,,,,,,,197,,66,,,,,88,,132,142,30,158,,,31,,156,,,141,,,80,185,,,,,14,68,33,,70,,,,197,111,,60,41,,,,44,80,
72,-3,NewJeans - Ditto,297,18,,2444,-5,1.238,,,42,,,,,,18,,,78,,,,72,,,38,112,,,,,,39,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,32,,,175
73,-1,AKMU - Love Lee,38,58,,2257,-35,0.09,,,114,,,,,,3,,,57,,,,,,,28,152,,,,,,15,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,74,,,
74,4,Lewis Capaldi - Someone You Loved,1423,6,,2147,145,7.607,,64,,145,57,140,,,,,,,85,161,38,,,,,,65,,66,73,,,165,,,105,,86,66,,,,,,,,,,58,,71,78,,82,,,173,,,,99,,43,,,
75,-1,"Peso Pluma, Gabito Ballesteros & Junior H - LADY GAGA",111,52,,2129,-45,0.249,50,,,,,,,,,3,,,,,,,13,,,,,,,,,,,,155,,73,,,12,,,,,,,,,,,,,,,102,,,,,,,,,,,
76,5,Coldplay - Viva La Vida,387,20,,2095,149,1.586,,88,,138,83,148,,196,,,,,88,97,63,,,,,,45,,39,93,,,,95,108,73,,,92,,,,61,,,,,,32,,79,154,,33,,,,,,86,71,,50,,,
77,5,Travis Scott - I KNOW,76,9,,2080,137,0.424,49,,,148,,35,,151,,,,,,,111,,,,,,,,,,,,78,28,,89,,,,,,28,,99,81,,,,37,,76,,,,,,,93,28,29,154,,,84,,
78,-2,"Bizarrap & Milo j - Milo J: Bzrp Music Sessions, Vol. 57",4,76,,2070,16,0.011,,,,,,,,,,21,,,,,,,20,4,,,,,,,,,,,1,,4,,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,
79,=,Jhayco - Holanda,66,57,,2041,58,0.145,,,,,,,,43,,66,,,,,,,12,10,,,,,,,,,,,14,,13,,,11,,,,,,,,,,,,,,,8,,,,,,,,,,,
80,-3,YOASOBI - The Brave,11,68,,1970,-37,0.021,,,5,,,,,,,,,,,,,,,,35,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,-1,King Gnu - SPECIALZ,41,54,,1960,13,0.09,,,3,,,,,,,,,,,,,,,,54,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2,Quevedo - Columbia,96,60,,1918,-5,0.205,,,,,,,,42,,62,,,,,,,52,6,,,,,,,,,,,11,,14,,,16,,,,,,,,,,,,,,,7,,,82,,,,,,,,
83,=,IVE - Off The Record,5,83,,1881,-47,0.009,,,138,,,,,,,,,52,,,,,,,4,103,,,,,98,5,,,,,,,,,,,,,,,,,,,,17,,,,184,,,,,,,10,,,55
84,15,Travis Scott - MELTDOWN,76,1,(x3),1860,183,0.507,52,,,170,,43,,144,,,,,,,178,,,,,,,,200,197,,,70,32,,153,,,,,,47,184,,,,59,,60,92,,,,,,,93,65,52,45,184,,,100,,
85,=,Fred again.. & Obongjayar - adore u,54,63,,1855,23,0.104,,7,,,,,,,,,,,,,107,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,=,Udo Lindenberg & Apache 207 - Komet,265,65,,1834,36,0.575,,,,9,,,,,,,,,,,18,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,
87,=,OneRepublic - I Ain't Worried,492,2,(x27),1833,45,3.778,,158,,117,26,,,,,,,,170,,49,,,,,,101,,112,45,,,84,,,64,,59,162,,,,,,,,,,,,93,117,,124,,,65,,,,,,44,,,
88,1,"Jungeli, Imen Es & Alonzo - Petit génie",60,80,,1807,30,0.104,,,,,,,1,,,,,,2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
89,-14,Bad Bunny - UN PREVIEW,16,31,,1806,-322,0.046,181,,,,,,,,,42,,,,,,,10,12,,,,,,,,,,,32,,12,,,7,,,,,,,,,,,,,,,10,,,,,,,,,,,
90,-2,Maluma & Carin Leon - Según Quién,24,86,,1794,15,0.051,196,,,,,,,,,17,,,,,,,5,65,,,,,,,,,,,60,,41,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,
91,=,PASHANIM - Ms. Jackson,48,73,,1762,10,0.087,,,,6,,,,,,,,,,,39,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,
92,-2,Doja Cat - Agora Hills,15,43,,1753,-13,0.035,53,132,,,143,166,,,,,,188,,81,,,,,,,,,179,43,,,69,68,,,,,,,,,,,,,,,36,57,,106,,,,55,90,,,36,,,93,,,90
93,=,AYLIVA - Hässlich,44,74,,1747,5,0.08,,,,7,,,,,,,,,,,35,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,
94,12,Eminem - Mockingbird,360,17,,1742,142,1.231,,,,47,,,,,,,74,,114,,37,,,,,,,,123,,,,,99,,40,,57,112,,80,,151,,,,,47,70,,68,,,122,,,82,,,,106,,,55,65,
95,-1,Tatsuya Kitani - Where Our Blue Is,79,85,,1738,19,0.14,,,6,,,,,,,,,,,,,,,,83,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,Dave & Tiakola - Meridian,48,69,,1719,38,0.094,,,,,,,4,,,,,,7,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
97,3,NewJeans - OMG,283,19,,1697,31,1.118,,,66,,,,,,29,,,107,,,,,,,44,171,,,,,,49,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,42,,,
98,-2,"Calle 24, Chino Pacas & Fuerza Regida - Qué Onda",40,85,,1692,-10,0.069,95,,,,,,,,,1,,,,,,,18,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5,Ayra Starr - Rush,281,24,,1666,58,1.023,,,,,,,16,,,,,,70,,65,,,,,,,,73,,,,51,56,,,,,,,,,,,,,23,,85,,49,,,,,,,66,,83,147,,,,,
100,-5,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls",46,93,,1659,-45,0.109,,,,,,,,,,,,14,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,21,,,,12,,,,39,,,,44,,,31,,,24
101,1,Feid & Young Miko - Classy 101,194,63,,1657,31,0.423,,,,,,,,,,39,,,,,,,9,29,,,,,,,,,,,17,,18,,,10,,,,,,,,,,,,,,,13,,,,,,,,,,,
102,-1,AYLIVA - Weißes Haus,64,68,,1656,10,0.14,,,,10,,,,,,,,,,,36,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,
103,-6,The Kolors - ITALODISCO,86,72,,1655,-30,0.187,,,,,,,,10,,,,,,,12,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,
104,-1,KeBlack - LAISSE MOI,27,93,,1633,22,0.049,,,,,,,2,,,,,,6,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
105,5,SDM - Bolide allemand,287,105,,1623,72,0.456,,,,,,,5,,,,,,9,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
106,-1,NewJeans - Hype Boy,436,27,,1604,-3,1.3,,,86,,,,,,19,,,122,,,,,,,56,,,,,,,35,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,71,,,
107,1,Sonny Fodera & MK - Asking,61,106,,1589,23,0.116,,10,,,,,,,,,,,,,90,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,13,ROSALÍA & Rauw Alejandro - BESO,202,20,,1580,117,0.604,,,,,,,35,80,,131,,,,,57,,96,37,,,,,,,,,,,43,,78,,,85,,,,,,,,,,,90,,,,82,,,52,,,,,,,,
109,4,YOASOBI - 夜に駆ける,930,88,,1560,46,1.82,,,19,,,,,,,,,,,,,,,,31,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,Bizarrap & Milo j - Fruto,3,110,,1557,50,0.007,,,,,,,,,,46,,,,,,,41,18,,,,,,,,,,,2,,7,,,9,,,,,,,,,,,,,,,4,,,,,,,,,,,
111,4,Post Malone & Swae Lee - Sunflower,1087,3,(x19),1544,40,6.594,,174,,,59,154,,,,,,23,,194,,,,,,,129,131,163,57,,,,,,,,,195,,,,,,,,,,,,,109,,135,,167,,,,,193,,51,,,
112,=,The Weeknd - Starboy,751,18,,1543,16,2.825,,,,,109,,,,,192,184,,164,43,173,,,,,40,,59,104,79,,,,45,,,,,,,45,98,150,,,,,77,52,78,,65,,127,157,,124,,193,42,116,,,,,
113,-4,"SIRA, Bausa & badchieff - 9 bis 9",80,101,,1534,-27,0.148,,,,8,,,,,,,,,,,77,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4,Billy Gillies - DNA,12,114,,1530,37,0.03,,15,,,,,,,,,,,,,75,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,-8,Taylor Swift - Shake It Off,182,36,,1529,-43,1.012,,110,,154,49,138,,,,,,176,,87,149,,,,,,67,,85,59,,,,,112,137,,,128,,,,,,,,,,,,,,,81,186,141,,,,,93,,66,,,
116,=,AYLIVA - Scheine zählen,46,87,,1522,21,0.077,,,,13,,,,,,,,,,,56,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,
117,14,Tiësto - Lay Low,208,44,,1514,130,0.571,,,,36,,,,,,,,,,,60,,,,,,,,68,,,,,,,23,,32,,,,,,,94,,,,,,,,,,,,54,,,,,,,19,27,
118,20,Travis Scott - MY EYES,74,7,,1509,205,0.354,186,,,94,,131,,139,,,,,184,,92,,,,,,,101,129,,,,120,39,,55,,65,,,73,26,190,,75,,,,35,,47,,,,,,73,96,67,56,,,,33,,
119,-2,Ado - Show,32,110,,1500,0,0.05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
