"","Index","Artist Name","Valence","Danceability","Energy","Loudness","Speechiness","Acousticness","Tempo","Liveness","Track Name","Album Name","Album Release Year"
"1",1,"Doja Cat",0.726,0.864,0.556,-7.683,0.194,0.255,99.974,0.112,"Paint The Town Red","Scarlet",2023
"2",2,"Doja Cat",0.313,0.831,0.362,-6.085,0.229,0.000156,139.941,0.168,"Demons","Scarlet",2023
"3",3,"Doja Cat",0.192,0.804,0.656,-5.723,0.0896,0.0207,150.014,0.107,"Wet Vagina","Scarlet",2023
"4",4,"Doja Cat",0.643,0.764,0.72,-6.494,0.273,0.196,91.337,0.111,"Fuck The Girls (FTG)","Scarlet",2023
"5",5,"Doja Cat",0.794,0.854,0.808,-5.958,0.139,0.0194,110.203,0.108,"Ouchies","Scarlet",2023
"6",6,"Doja Cat",0.864,0.564,0.796,-2.652,0.351,0.184,153.586,0.147,"97","Scarlet",2023
"7",7,"Doja Cat",0.805,0.885,0.576,-7.17,0.238,0.0695,76.004,0.0993,"Gun","Scarlet",2023
"8",8,"Doja Cat",0.552,0.933,0.533,-8,0.0585,0.027,140.991,0.118,"Go Off","Scarlet",2023
"9",9,"Doja Cat",0.409,0.763,0.441,-9.043,0.11,0.0343,145.926,0.132,"Shutcho","Scarlet",2023
"10",10,"Doja Cat",0.392,0.75,0.674,-6.128,0.097,0.228,123.026,0.122,"Agora Hills","Scarlet",2023
"11",11,"Doja Cat",0.815,0.472,0.79,-4.337,0.322,0.286,77.908,0.0636,"Can't Wait","Scarlet",2023
"12",12,"Doja Cat",0.593,0.509,0.638,-5.516,0.475,0.554,171.817,0.11,"Often","Scarlet",2023
"13",13,"Doja Cat",0.649,0.597,0.622,-9.593,0.343,0.616,82.361,0.121,"Love Life","Scarlet",2023
"14",14,"Doja Cat",0.501,0.632,0.706,-6.127,0.0987,0.106,85,0.143,"Skull And Bones","Scarlet",2023
"15",15,"Doja Cat",0.395,0.758,0.587,-6.932,0.244,0.13,87.997,0.109,"Attention","Scarlet",2023
"16",16,"Doja Cat",0.377,0.778,0.626,-4.329,0.161,0.183,148.022,0.177,"Balut","Scarlet",2023
"17",17,"Doja Cat",0.375,0.895,0.486,-5.937,0.273,0.00449,144.064,0.119,"WYM Freestyle","Scarlet",2023
"18",18,"Doja Cat",0.881,0.824,0.764,-4.175,0.0854,0.0888,107.998,0.117,"Woman","Planet Her (Deluxe)",2021
"19",19,"Doja Cat",0.536,0.733,0.862,-5.736,0.197,0.374,111.076,0.131,"Naked","Planet Her (Deluxe)",2021
"20",20,"Doja Cat",0.558,0.619,0.707,-5.791,0.0499,0.0366,168.995,0.13,"Payday (feat. Young Thug)","Planet Her (Deluxe)",2021
"21",21,"Doja Cat",0.793,0.912,0.655,-6.029,0.162,0.315,91.942,0.0894,"Get Into It (Yuh)","Planet Her (Deluxe)",2021
"22",22,"Doja Cat",0.194,0.664,0.609,-6.509,0.0707,0.304,130.041,0.0926,"Need to Know","Planet Her (Deluxe)",2021
"23",23,"Doja Cat",0.45,0.683,0.615,-5.737,0.0966,0.222,77.014,0.154,"I Don't Do Drugs (feat. Ariana Grande)","Planet Her (Deluxe)",2021
"24",24,"Doja Cat",0.529,0.734,0.45,-7.075,0.0824,0.597,135.067,0.0964,"Love To Dream","Planet Her (Deluxe)",2021
"25",25,"Doja Cat",0.436,0.828,0.621,-6.414,0.0565,0.0164,128.986,0.0845,"You Right","Planet Her (Deluxe)",2021
"26",26,"Doja Cat",0.176,0.678,0.531,-5.029,0.0374,0.126,99.008,0.377,"Been Like This","Planet Her (Deluxe)",2021
"27",27,"Doja Cat",0.285,0.842,0.522,-7.844,0.0985,0.293,132.986,0.107,"Options (feat. JID)","Planet Her (Deluxe)",2021
"28",28,"Doja Cat",0.619,0.855,0.488,-4.601,0.208,0.506,124.097,0.347,"Ain't Shit","Planet Her (Deluxe)",2021
"29",29,"Doja Cat",0.698,0.82,0.656,-5.537,0.0399,0.209,143.059,0.124,"Imagine","Planet Her (Deluxe)",2021
"30",30,"Doja Cat",0.746,0.691,0.656,-5.864,0.172,0.543,169.973,0.095,"Alone","Planet Her (Deluxe)",2021
"31",31,"Doja Cat",0.781,0.764,0.705,-3.463,0.0284,0.259,110.97,0.12,"Kiss Me More (feat. SZA)","Planet Her (Deluxe)",2021
"32",32,"Doja Cat",0.502,0.837,0.567,-6.709,0.0649,0.0158,129.001,0.118,"You Right - Extended","Planet Her (Deluxe)",2021
"33",33,"Doja Cat",0.67,0.829,0.761,-4.882,0.117,0.186,74.979,0.0705,"Up And Down","Planet Her (Deluxe)",2021
"34",34,"Doja Cat",0.866,0.779,0.558,-5.523,0.259,0.0417,91.933,0.0727,"Tonight (feat. Eve)","Planet Her (Deluxe)",2021
"35",35,"Doja Cat",0.828,0.722,0.592,-6.718,0.383,0.224,199.719,0.0714,"Ride","Planet Her (Deluxe)",2021
"36",36,"Doja Cat",0.476,0.592,0.635,-5.351,0.0971,0.212,155.907,0.305,"Why Why (feat. Gunna)","Planet Her (Deluxe)",2021
"37",37,"Doja Cat",0.881,0.824,0.764,-4.175,0.0854,0.0888,107.998,0.117,"Woman","Planet Her",2021
"38",38,"Doja Cat",0.536,0.733,0.862,-5.736,0.197,0.374,111.076,0.131,"Naked","Planet Her",2021
"39",39,"Doja Cat",0.558,0.619,0.707,-5.791,0.0499,0.0366,168.995,0.13,"Payday (feat. Young Thug)","Planet Her",2021
"40",40,"Doja Cat",0.793,0.912,0.655,-6.029,0.162,0.315,91.942,0.0894,"Get Into It (Yuh)","Planet Her",2021
