,Unnamed: 0,Artist Name,Valence,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Track Name,Album Name,Album Release Year
158,159,Drake,0.783,0.488,0.635,-7.19,0.26,0.179,0.156,174.072,Race My Mind,Certified Lover Boy,2021
159,160,Drake,0.689,0.843,0.485,-8.735,0.195,0.181,0.107,100.053,Fountains (with Tems),Certified Lover Boy,2021
160,161,Drake,0.338,0.32,0.466,-6.77,0.0374,0.00645,0.133,177.693,Get Along Better,Certified Lover Boy,2021
161,162,Drake,0.711,0.519,0.851,-6.001,0.29,0.118,0.178,123.823,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,2021
162,163,Drake,0.0498,0.59,0.493,-8.704,0.0367,0.402,0.129,150.026,IMY2 (with Kid Cudi),Certified Lover Boy,2021
163,164,Drake,0.165,0.783,0.416,-9.84,0.135,0.213,0.103,87.073,F*****g Fans,Certified Lover Boy,2021
164,165,Drake,0.637,0.473,0.53,-8.506,0.249,0.812,0.227,74.732,The Remorse,Certified Lover Boy,2021
165,166,Drake,0.374,0.473,0.824,-3.68,0.163,0.482,0.605,77.888,Deep Pockets,Dark Lane Demo Tapes,2020
166,167,Drake,0.526,0.41,0.82,-6.808,0.533,0.252,0.538,170.718,When To Say When,Dark Lane Demo Tapes,2020
167,168,Drake,0.0397,0.735,0.449,-7.507,0.347,0.629,0.113,122.947,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,2020
168,169,Drake,0.316,0.458,0.452,-9.299,0.047,0.342,0.0703,86.318,Not You Too (feat. Chris Brown),Dark Lane Demo Tapes,2020
169,170,Drake,0.845,0.83,0.49,-8.82,0.209,0.289,0.113,81.604,Toosie Slide,Dark Lane Demo Tapes,2020
170,171,Drake,0.554,0.812,0.506,-7.706,0.116,0.281,0.325,145.074,Desires (with Future),Dark Lane Demo Tapes,2020
171,172,Drake,0.5,0.864,0.477,-5.786,0.224,0.201,0.182,86.46,Time Flies,Dark Lane Demo Tapes,2020
172,173,Drake,0.715,0.881,0.636,-4.629,0.287,0.00606,0.111,163.949,Landed,Dark Lane Demo Tapes,2020
173,174,Drake,0.815,0.718,0.706,-5.709,0.06,0.0128,0.352,170.004,D4L,Dark Lane Demo Tapes,2020
174,175,Drake,0.12,0.825,0.373,-5.532,0.108,0.163,0.368,77.271,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,2020
175,176,Drake,0.505,0.551,0.57,-7.385,0.351,0.28,0.424,85.687,Losses,Dark Lane Demo Tapes,2020
176,177,Drake,0.476,0.787,0.477,-7.837,0.199,0.768,0.104,80.506,From Florida With Love,Dark Lane Demo Tapes,2020
177,178,Drake,0.729,0.543,0.766,-3.387,0.343,0.423,0.155,106.869,Demons (feat. Fivio Foreign & Sosa Geek),Dark Lane Demo Tapes,2020
178,179,Drake,0.239,0.749,0.792,-4.151,0.0826,0.292,0.109,144.064,War,Dark Lane Demo Tapes,2020
179,180,Drake,0.33,0.423,0.587,-6.635,0.529,0.765,0.114,180.331,Dreams Money Can Buy,Care Package,2019
180,181,Drake,0.544,0.631,0.788,-7.142,0.102,0.371,0.108,157.769,The Motion,Care Package,2019
181,182,Drake,0.472,0.789,0.404,-8.364,0.23,0.205,0.219,122.062,How Bout Now,Care Package,2019
182,183,Drake,0.523,0.421,0.539,-5.456,0.274,0.779,0.111,89.177,Trust Issues,Care Package,2019
183,184,Drake,0.0361,0.733,0.361,-11.129,0.135,0.348,0.0942,94.902,Days in The East,Care Package,2019
184,185,Drake,0.564,0.673,0.81,-3.793,0.36,0.0322,0.133,166.084,Draft Day,Care Package,2019
185,186,Drake,0.549,0.743,0.66,-4.802,0.418,0.115,0.101,192.031,4pm in Calabasas,Care Package,2019
186,187,Drake,0.391,0.555,0.88,-4.325,0.265,0.0678,0.0723,87.195,5 Am in Toronto,Care Package,2019
187,188,Drake,0.689,0.477,0.501,-9.178,0.0398,0.706,0.0953,81.376,I Get Lonely,Care Package,2019
188,189,Drake,0.385,0.549,0.495,-5.661,0.133,0.603,0.0979,81.012,My Side,Care Package,2019
189,190,Drake,0.282,0.498,0.844,-2.834,0.268,0.0111,0.102,88.435,Jodeci Freestyle (feat. J. Cole),Care Package,2019
190,191,Drake,0.543,0.338,0.729,-6.419,0.102,0.758,0.18,184.174,Club Paradise,Care Package,2019
191,192,Drake,0.225,0.508,0.748,-4.997,0.33,0.281,0.168,100.414,Free Spirit (feat. Rick Ross),Care Package,2019
192,193,Drake,0.302,0.641,0.454,-8.344,0.133,0.179,0.065,78.036,Heat Of The Moment,Care Package,2019
193,194,Drake,0.328,0.619,0.489,-11.25,0.46,0.782,0.106,126.046,Girls Love Beyoncé (feat. James Fauntleroy),Care Package,2019
194,195,Drake,0.141,0.505,0.494,-8.635,0.315,0.414,0.105,171.978,Paris Morton Music,Care Package,2019
195,196,Drake,0.0674,0.643,0.178,-8.56,0.0588,0.484,0.122,85.042,Can I,Care Package,2019
196,197,Drake,0.145,0.555,0.596,-9.09,0.375,0.133,0.123,77.324,Survival,Scorpion,2018
197,198,Drake,0.423,0.912,0.412,-8.074,0.123,0.0165,0.104,154.983,Nonstop,Scorpion,2018
198,199,Drake,0.0542,0.758,0.474,-8.72,0.147,0.0152,0.116,76.061,Elevate,Scorpion,2018
199,200,Drake,0.0853,0.414,0.677,-5.12,0.254,0.0248,0.0793,172.521,Emotionless,Scorpion,2018
200,201,Drake,0.357,0.754,0.449,-9.211,0.109,0.0332,0.552,77.169,God's Plan,Scorpion,2018
201,202,Drake,0.492,0.899,0.586,-7.866,0.343,0.279,0.0836,150.002,I'm Upset,Scorpion,2018
202,203,Drake,0.31,0.527,0.689,-7.87,0.741,0.161,0.498,170.538,8 Out Of 10,Scorpion,2018
203,204,Drake,0.491,0.754,0.575,-8.393,0.0682,0.045,0.276,86.009,Mob Ties,Scorpion,2018
204,205,Drake,0.446,0.761,0.598,-7.249,0.182,0.126,0.0839,173.897,Can’t Take A Joke,Scorpion,2018
205,206,Drake,0.519,0.486,0.849,-5.432,0.246,0.0481,0.143,152.086,Sandra’s Rose,Scorpion,2018
206,207,Drake,0.334,0.758,0.491,-9.877,0.138,0.00354,0.292,140.121,Talk Up (feat. Jay-Z),Scorpion,2018
207,208,Drake,0.549,0.708,0.547,-7.607,0.314,0.727,0.159,83.8,Is There More,Scorpion,2018
208,209,Drake,0.269,0.687,0.218,-13.539,0.0388,0.85,0.106,91.991,Peak,Scorpion,2018
209,210,Drake,0.134,0.776,0.482,-11.269,0.0357,0.477,0.11,136.008,Summer Games,Scorpion,2018
210,211,Drake,0.0371,0.764,0.271,-5.697,0.0414,0.037,0.175,116.019,Jaded,Scorpion,2018
211,212,Drake,0.758,0.585,0.909,-6.474,0.0707,0.0891,0.119,93.372,Nice For What,Scorpion,2018
212,213,Drake,0.299,0.807,0.319,-8.152,0.0581,0.133,0.101,94.992,Finesse,Scorpion,2018
213,214,Drake,0.622,0.657,0.571,-12.519,0.139,0.11,0.0735,167.958,Ratchet Happy Birthday,Scorpion,2018
214,215,Drake,0.38,0.85,0.473,-5.747,0.209,0.117,0.108,85.454,That’s How You Feel,Scorpion,2018
215,216,Drake,0.123,0.889,0.372,-10.254,0.357,0.013,0.184,133.997,Blue Tint,Scorpion,2018
216,217,Drake,0.35,0.835,0.626,-5.833,0.125,0.0589,0.396,91.03,In My Feelings,Scorpion,2018
217,218,Drake,0.138,0.822,0.318,-12.391,0.0575,0.493,0.11,102.998,Don’t Matter To Me (with Michael Jackson),Scorpion,2018
