,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
1000,6,Olivia Rodrigo - vampire,104,1,22,10868,CA,30.0
1001,7,Taylor Swift - Cruel Summer,245,1,13,10731,CA,38.0
1012,18,Dua Lipa - Dance The Night,139,1,19,7035,CA,74.0
1016,22,Dave & Central Cee - Sprinter,132,2,20,6672,CA,48.0
1024,30,Billie Eilish - What Was I Made For,90,2,10,5425,CA,62.0
1026,32,Miley Cyrus - Flowers,272,1,168,5145,CA,88.0
1027,33,Taylor Swift - Anti-Hero,356,1,50,5108,CA,68.0
1033,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,CA,63.0
1036,42,Harry Styles - As It Was,559,1,177,4017,CA,144.0
1042,48,David Kushner - Daylight,181,2,14,3657,CA,82.0
1056,62,Taylor Swift - Lover,412,3,13,2739,CA,84.0
1064,70,SZA - Kill Bill,307,1,3,2487,CA,116.0
1078,84,Travis Scott - MELTDOWN,76,1,3,1860,CA,43.0
1105,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,CA,154.0
1117,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,CA,104.0
1120,126,Ed Sheeran - Perfect,1982,1,2,1446,CA,150.0
1139,145,Travis Scott - FEN,73,2,2,1301,CA,103.0
1162,168,Glass Animals - Heat Waves,1029,2,13,1177,CA,158.0
1194,1,Doja Cat - Paint The Town Red,68,1,45,16920,FR,9.0
1195,2,Tate McRae - greedy,27,2,9,14619,FR,18.0
1196,3,Drake - IDGAF,6,3,1,13364,FR,30.0
1197,4,Drake - First Person Shooter,6,3,2,12624,FR,51.0
1198,5,Drake - Virginia Beach,6,2,2,12359,FR,38.0
1199,6,Olivia Rodrigo - vampire,104,1,22,10868,FR,195.0
1211,18,Dua Lipa - Dance The Night,139,1,19,7035,FR,74.0
1215,22,Dave & Central Cee - Sprinter,132,2,20,6672,FR,121.0
1223,30,Billie Eilish - What Was I Made For,90,2,10,5425,FR,170.0
1225,32,Miley Cyrus - Flowers,272,1,168,5145,FR,124.0
1241,48,David Kushner - Daylight,181,2,14,3657,FR,128.0
1393,1,Doja Cat - Paint The Town Red,68,1,45,16920,IT,46.0
1394,2,Tate McRae - greedy,27,2,9,14619,IT,50.0
1395,3,Drake - IDGAF,6,3,1,13364,IT,28.0
1396,4,Drake - First Person Shooter,6,3,2,12624,IT,40.0
1397,5,Drake - Virginia Beach,6,2,2,12359,IT,30.0
1398,6,Olivia Rodrigo - vampire,104,1,22,10868,IT,55.0
1399,7,Taylor Swift - Cruel Summer,245,1,13,10731,IT,100.0
1410,18,Dua Lipa - Dance The Night,139,1,19,7035,IT,68.0
1414,22,Dave & Central Cee - Sprinter,132,2,20,6672,IT,176.0
1424,32,Miley Cyrus - Flowers,272,1,168,5145,IT,193.0
1476,84,Travis Scott - MELTDOWN,76,1,3,1860,IT,144.0
1537,145,Travis Scott - FEN,73,2,2,1301,IT,161.0
1592,1,Doja Cat - Paint The Town Red,68,1,45,16920,KR,16.0
1597,6,Olivia Rodrigo - vampire,104,1,22,10868,KR,79.0
1598,7,Taylor Swift - Cruel Summer,245,1,13,10731,KR,64.0
1661,70,SZA - Kill Bill,307,1,3,2487,KR,98.0
1791,1,Doja Cat - Paint The Town Red,68,1,45,16920,MX,139.0
1796,6,Olivia Rodrigo - vampire,104,1,22,10868,MX,160.0
1797,7,Taylor Swift - Cruel Summer,245,1,13,10731,MX,109.0
1832,42,Harry Styles - As It Was,559,1,177,4017,MX,171.0
1852,62,Taylor Swift - Lover,412,3,13,2739,MX,166.0
2189,1,Doja Cat - Paint The Town Red,68,1,45,16920,TH,11.0
2190,2,Tate McRae - greedy,27,2,9,14619,TH,74.0
2194,6,Olivia Rodrigo - vampire,104,1,22,10868,TH,64.0
2195,7,Taylor Swift - Cruel Summer,245,1,13,10731,TH,4.0
2221,33,Taylor Swift - Anti-Hero,356,1,50,5108,TH,117.0
2250,62,Taylor Swift - Lover,412,3,13,2739,TH,32.0
2258,70,SZA - Kill Bill,307,1,3,2487,TH,110.0
2299,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,TH,23.0
2314,126,Ed Sheeran - Perfect,1982,1,2,1446,TH,131.0
2373,185,Chris Brown - Under the Influence,432,2,17,1110,TH,190.0
2388,1,Doja Cat - Paint The Town Red,68,1,45,16920,BE,5.0
2389,2,Tate McRae - greedy,27,2,9,14619,BE,3.0
2390,3,Drake - IDGAF,6,3,1,13364,BE,11.0
2391,4,Drake - First Person Shooter,6,3,2,12624,BE,15.0
2392,5,Drake - Virginia Beach,6,2,2,12359,BE,17.0
2393,6,Olivia Rodrigo - vampire,104,1,22,10868,BE,13.0
2394,7,Taylor Swift - Cruel Summer,245,1,13,10731,BE,90.0
2405,18,Dua Lipa - Dance The Night,139,1,19,7035,BE,24.0
2409,22,Dave & Central Cee - Sprinter,132,2,20,6672,BE,16.0
2417,30,Billie Eilish - What Was I Made For,90,2,10,5425,BE,18.0
2419,32,Miley Cyrus - Flowers,272,1,168,5145,BE,34.0
2420,33,Taylor Swift - Anti-Hero,356,1,50,5108,BE,99.0
2429,42,Harry Styles - As It Was,559,1,177,4017,BE,56.0
2435,48,David Kushner - Daylight,181,2,14,3657,BE,23.0
2436,49,The Weeknd - Blinding Lights,1354,1,114,3624,BE,63.0
2474,87,OneRepublic - I Ain't Worried,492,2,27,1833,BE,170.0
2510,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,BE,100.0
2513,126,Ed Sheeran - Perfect,1982,1,2,1446,BE,126.0
2555,168,Glass Animals - Heat Waves,1029,2,13,1177,BE,145.0
2572,185,Chris Brown - Under the Influence,432,2,17,1110,BE,186.0
2587,1,Doja Cat - Paint The Town Red,68,1,45,16920,BR,24.0
2588,2,Tate McRae - greedy,27,2,9,14619,BR,3.0
2591,5,Drake - Virginia Beach,6,2,2,12359,BR,135.0
2592,6,Olivia Rodrigo - vampire,104,1,22,10868,BR,27.0
2593,7,Taylor Swift - Cruel Summer,245,1,13,10731,BR,21.0
