,Word,neg,neu,pos,compound,,,,
0,inspired,0,0,1,0.4939,,,,
1,TRUE,0,0,1,0.4215,,,,
2,story,0,1,0,0,,,,
3,total,0,1,0,0,,,,
4,fake.,1,0,0,-0.4767,,,,
5,under,0,1,0,0,,,,4
6,assumed,0,1,0,0,,,,
7,name,0,1,0,0,,,,
8,anna,0,1,0,0,,,,
9,"delvey,",0,1,0,0,,,,
10,russian-born,0,1,0,0,,,,
11,anna,0,1,0,0,,,,
12,sorokin,0,1,0,0,,,,
13,infiltrated,0,1,0,0,,,,
14,new,0,1,0,0,,,,
15,york,0,1,0,0,,,,
16,'s,0,1,0,0,,,,
17,high,0,1,0,0,,,,
18,society,0,1,0,0,,,,
19,convincing,0,0,1,0.4019,,,,
20,german,0,1,0,0,,,,
21,socialite,0,1,0,0,,,,
22,heiress,0,1,0,0,,,,
23,massive,0,1,0,0,,,,
24,"fortune,",0,1,0,0,,,,
25,scheming,0,1,0,0,,,,
26,scamming,0,1,0,0,,,,
27,millions.,0,1,0,0,,,,
