,Chart Position,Position Duration,Peak,(x?),Points,Country Rank
209,123,110,2,2,1468,137
210,126,1982,1,2,1446,106
211,145,73,2,2,1301,125
212,168,1029,2,13,1177,61
213,185,432,2,17,1110,140
214,198,787,1,41,1056,122
215,1,68,1,45,16920,86
216,7,245,1,13,10731,71
217,1,68,1,45,16920,193
218,42,559,1,177,4017,186
219,1,68,1,45,16920,97
220,2,27,2,9,14619,74
221,3,6,3,1,13364,138
222,4,6,3,2,12624,158
223,5,6,2,2,12359,104
224,6,104,1,22,10868,80
225,7,245,1,13,10731,127
226,18,139,1,19,7035,101
227,32,272,1,168,5145,109
228,42,559,1,177,4017,164
229,1,68,1,45,16920,32
230,2,27,2,9,14619,114
231,6,104,1,22,10868,101
232,7,245,1,13,10731,65
233,30,90,2,10,5425,196
234,126,1982,1,2,1446,182
235,1,68,1,45,16920,16
236,2,27,2,9,14619,15
237,6,104,1,22,10868,25
238,7,245,1,13,10731,9
239,30,90,2,10,5425,49
240,33,356,1,50,5108,58
241,39,393,2,32,4261,101
242,42,559,1,177,4017,65
243,62,412,3,13,2739,39
244,70,307,1,3,2487,38
245,126,1982,1,2,1446,138
246,185,432,2,17,1110,189
247,1,68,1,45,16920,3
248,2,27,2,9,14619,2
249,3,6,3,1,13364,10
250,4,6,3,2,12624,11
251,5,6,2,2,12359,12
252,6,104,1,22,10868,4
253,7,245,1,13,10731,5
254,18,139,1,19,7035,8
255,22,132,2,20,6672,16
256,30,90,2,10,5425,20
257,32,272,1,168,5145,29
258,33,356,1,50,5108,14
259,39,393,2,32,4261,40
260,42,559,1,177,4017,32
261,48,181,2,14,3657,92
262,49,1354,1,114,3624,95
263,62,412,3,13,2739,55
264,70,307,1,3,2487,149
265,87,492,2,27,1833,101
266,111,1087,3,19,1544,129
267,123,110,2,2,1468,200
268,126,1982,1,2,1446,164
269,168,1029,2,13,1177,168
270,198,787,1,41,1056,151
271,1,68,1,45,16920,35
272,2,27,2,9,14619,57
273,3,6,3,1,13364,94
274,4,6,3,2,12624,37
275,5,6,2,2,12359,68
276,7,245,1,13,10731,163
277,39,393,2,32,4261,45
278,42,559,1,177,4017,139
279,49,1354,1,114,3624,67
280,62,412,3,13,2739,104
281,111,1087,3,19,1544,131
282,126,1982,1,2,1446,103
283,145,73,2,2,1301,119
284,168,1029,2,13,1177,136
285,1,68,1,45,16920,5
286,2,27,2,9,14619,1
287,3,6,3,1,13364,3
288,4,6,3,2,12624,4
289,5,6,2,2,12359,6
290,6,104,1,22,10868,8
291,7,245,1,13,10731,22
292,18,139,1,19,7035,9
293,22,132,2,20,6672,31
294,30,90,2,10,5425,13
295,32,272,1,168,5145,40
296,33,356,1,50,5108,38
297,39,393,2,32,4261,106
298,42,559,1,177,4017,45
299,48,181,2,14,3657,51
300,49,1354,1,114,3624,48
301,62,412,3,13,2739,114
302,70,307,1,3,2487,70
303,84,76,1,3,1860,200
304,87,492,2,27,1833,112
305,111,1087,3,19,1544,163
306,123,110,2,2,1468,82
307,126,1982,1,2,1446,63
308,168,1029,2,13,1177,125
309,185,432,2,17,1110,183
310,198,787,1,41,1056,99
311,1,68,1,45,16920,1
312,2,27,2,9,14619,5
313,3,6,3,1,13364,3
314,4,6,3,2,12624,2
315,5,6,2,2,12359,4
316,6,104,1,22,10868,10
317,7,245,1,13,10731,8
318,18,139,1,19,7035,12
319,22,132,2,20,6672,14
320,30,90,2,10,5425,29
321,32,272,1,168,5145,24
322,33,356,1,50,5108,26
323,39,393,2,32,4261,25
324,42,559,1,177,4017,44
325,48,181,2,14,3657,66
326,49,1354,1,114,3624,48
327,62,412,3,13,2739,61
328,70,307,1,3,2487,51
329,84,76,1,3,1860,197
330,87,492,2,27,1833,45
331,111,1087,3,19,1544,57
332,123,110,2,2,1468,55
333,126,1982,1,2,1446,106
334,168,1029,2,13,1177,74
335,185,432,2,17,1110,95
336,198,787,1,41,1056,49
337,1,68,1,45,16920,21
338,2,27,2,9,14619,61
339,3,6,3,1,13364,58
340,4,6,3,2,12624,99
341,5,6,2,2,12359,168
342,1,68,1,45,16920,9
343,2,27,2,9,14619,74
344,6,104,1,22,10868,93
345,7,245,1,13,10731,20
346,1,68,1,45,16920,42
347,2,27,2,9,14619,32
348,3,6,3,1,13364,4
349,4,6,3,2,12624,2
350,5,6,2,2,12359,3
351,6,104,1,22,10868,96
352,7,245,1,13,10731,71
353,18,139,1,19,7035,132
354,22,132,2,20,6672,56
355,30,90,2,10,5425,68
356,32,272,1,168,5145,101
357,33,356,1,50,5108,118
358,39,393,2,32,4261,49
359,42,559,1,177,4017,106
360,70,307,1,3,2487,169
361,84,76,1,3,1860,70
362,87,492,2,27,1833,84
363,145,73,2,2,1301,93
364,168,1029,2,13,1177,135
365,185,432,2,17,1110,72
366,198,787,1,41,1056,177
367,1,68,1,45,16920,7
368,2,27,2,9,14619,4
369,3,6,3,1,13364,2
370,4,6,3,2,12624,1
371,5,6,2,2,12359,3
372,6,104,1,22,10868,22
373,7,245,1,13,10731,15
374,18,139,1,19,7035,35
375,22,132,2,20,6672,19
376,30,90,2,10,5425,41
377,32,272,1,168,5145,47
378,33,356,1,50,5108,73
379,39,393,2,32,4261,16
380,42,559,1,177,4017,67
381,48,181,2,14,3657,90
382,49,1354,1,114,3624,40
383,62,412,3,13,2739,88
384,70,307,1,3,2487,42
385,84,76,1,3,1860,32
386,123,110,2,2,1468,57
387,126,1982,1,2,1446,91
388,145,73,2,2,1301,46
389,185,432,2,17,1110,43
390,1,68,1,45,16920,85
391,2,27,2,9,14619,104
392,3,6,3,1,13364,186
393,5,6,2,2,12359,174
394,6,104,1,22,10868,59
395,7,245,1,13,10731,47
396,18,139,1,19,7035,65
397,30,90,2,10,5425,150
398,32,272,1,168,5145,55
399,33,356,1,50,5108,103
400,42,559,1,177,4017,80
401,49,1354,1,114,3624,84
402,62,412,3,13,2739,96
403,126,1982,1,2,1446,154
404,198,787,1,41,1056,93
405,1,68,1,45,16920,3
406,2,27,2,9,14619,1
407,3,6,3,1,13364,5
408,4,6,3,2,12624,11
409,5,6,2,2,12359,12
410,6,104,1,22,10868,9
411,7,245,1,13,10731,22
412,18,139,1,19,7035,29
413,22,132,2,20,6672,32
414,30,90,2,10,5425,63
415,32,272,1,168,5145,27
416,33,356,1,50,5108,43
417,39,393,2,32,4261,123
418,42,559,1,177,4017,67
419,48,181,2,14,3657,48
420,49,1354,1,114,3624,76
421,62,412,3,13,2739,166
422,70,307,1,3,2487,185
423,84,76,1,3,1860,153
424,87,492,2,27,1833,64
425,123,110,2,2,1468,196
426,145,73,2,2,1301,72
427,168,1029,2,13,1177,140
428,1,68,1,45,16920,130
429,2,27,2,9,14619,192
430,6,104,1,22,10868,170
431,7,245,1,13,10731,123
432,62,412,3,13,2739,195
433,1,68,1,45,16920,3
434,2,27,2,9,14619,2
435,3,6,3,1,13364,19
436,4,6,3,2,12624,77
437,5,6,2,2,12359,85
438,6,104,1,22,10868,26
439,7,245,1,13,10731,61
440,18,139,1,19,7035,23
441,22,132,2,20,6672,51
442,30,90,2,10,5425,68
443,32,272,1,168,5145,34
444,42,559,1,177,4017,94
445,48,181,2,14,3657,39
446,49,1354,1,114,3624,64
447,87,492,2,27,1833,59
448,126,1982,1,2,1446,96
449,1,68,1,45,16920,4
450,2,27,2,9,14619,1
451,3,6,3,1,13364,10
452,4,6,3,2,12624,6
453,5,6,2,2,12359,3
454,6,104,1,22,10868,15
455,7,245,1,13,10731,31
456,18,139,1,19,7035,16
457,22,132,2,20,6672,17
458,30,90,2,10,5425,25
459,32,272,1,168,5145,32
460,33,356,1,50,5108,40
461,39,393,2,32,4261,43
462,42,559,1,177,4017,55
463,48,181,2,14,3657,84
464,49,1354,1,114,3624,53
465,62,412,3,13,2739,111
466,70,307,1,3,2487,152
467,87,492,2,27,1833,162
468,111,1087,3,19,1544,195
469,123,110,2,2,1468,90
470,126,1982,1,2,1446,61
471,198,787,1,41,1056,124
472,1,68,1,45,16920,4
473,2,27,2,9,14619,5
474,3,6,3,1,13364,1
475,4,6,3,2,12624,15
476,5,6,2,2,12359,11
477,6,104,1,22,10868,41
478,7,245,1,13,10731,46
479,18,139,1,19,7035,71
480,22,132,2,20,6672,62
481,30,90,2,10,5425,79
482,32,272,1,168,5145,82
483,48,181,2,14,3657,76
