,Entity,Code,Score,GDP
23644,India,IND,4.0358,"2,388.60"
23904,Indonesia,IDN,5.2769,"4,788.00"
24164,Iran,IRN,4.8763,"4,387.80"
24424,Iraq,IRQ,4.9409,"5,937.20"
24684,Ireland,IRL,6.9108,"104,038.90"
25018,Israel,ISR,7.4729,"54,659.80"
25278,Italy,ITA,6.4045,"34,158.00"
25538,Jamaica,JAM,5.7027,"6,047.20"
25791,Japan,JPN,6.129,"33,815.30"
26125,Jordan,JOR,4.1198,"4,204.50"
26385,Kazakhstan,KAZ,6.1439,"11,243.70"
26645,Kenya,KEN,4.4866,"2,099.30"
27128,Kosovo,OWID_KOS,6.3676,"5,351.40"
27462,Kyrgyzstan,KGZ,5.8253,"1,606.70"
27722,Laos,LAO,5.1107,"2,088.40"
28086,Latvia,LVA,6.2127,"21,851.10"
28346,Lebanon,LBN,2.3922,"4,136.10"
28865,Liberia,LBR,4.0423,754.5
29643,Lithuania,LTU,6.763,"24,826.80"
30421,Luxembourg,LUX,7.2279,"126,426.10"
30765,Madagascar,MDG,4.0191,505
31025,Malawi,MWI,3.4952,645.2
31285,Malaysia,MYS,6.0123,"11,971.90"
31767,Mali,MLI,4.1978,833.3
32027,Malta,MLT,6.2999,"33,940.90"
32627,Mauritania,MRT,4.7239,"2,190.70"
32887,Mauritius,MUS,5.9023,"10,216.30"
33219,Mexico,MEX,6.3295,"11,091.30"
33766,Moldova,MDA,5.8192,"5,562.60"
34248,Mongolia,MNG,5.8402,"4,946.80"
34508,Montenegro,MNE,5.7222,"9,893.50"
34843,Morocco,MAR,4.9028,"3,527.90"
35103,Mozambique,MOZ,4.954,541.5
35363,Myanmar,MMR,4.3725,"1,095.70"
35624,Namibia,NAM,4.6308,"4,911.30"
36106,Nepal,NPL,5.3603,"1,336.50"
36366,Netherlands,NLD,7.403,"55,985.40"
36807,New Zealand,NZL,7.1229,"48,249.30"
37045,Nicaragua,NIC,6.2588,"2,255.40"
37305,Niger,NER,4.5013,533
37565,Nigeria,NGA,4.9806,"2,184.40"
38448,North Macedonia,MKD,5.2536,"6,591.50"
38862,Norway,NOR,7.3155,"106,148.80"
39712,Pakistan,PAK,4.5554,"1,596.70"
40194,Palestine,PSE,4.9078,3095.5
40417,Panama,PAN,6.2645,"17,357.60"
40936,Paraguay,PRY,5.7378,"6,153.10"
41197,Peru,PER,5.5259,"7,125.80"
41457,Philippines,PHL,5.5229,"3,498.50"
41718,Poland,POL,6.2597,"18,321.30"
41978,Portugal,PRT,5.968,"24,274.50"
42717,Romania,ROU,6.5891,"15,892.10"
42977,Russia,RUS,5.6607,"15,345.10"
45326,Saudi Arabia,SAU,6.4626,"30,436.30"
45587,Senegal,SEN,4.8551,"1,598.70"
45847,Serbia,SRB,6.1436,"9,393.60"
